epoch,IoU,PD,FA
0,0.0008,0.6395,335467.0586
1,0.0005,0.2806,499667.9505
2,0.0006,0.1950,380518.3676
3,0.0011,0.1701,194663.5839
4,0.0007,0.1150,278098.1111
5,0.0011,0.1162,175472.1267
6,0.3576,0.0884,19.5859
7,0.4008,0.0795,25.2795
8,0.4652,0.0824,32.4914
9,0.4770,0.0724,26.3423
10,0.4982,0.0668,41.2215
11,0.4624,0.0638,54.0510
12,0.4895,0.0570,40.6142
13,0.5118,0.0556,23.6094
14,0.4943,0.0531,31.8081
15,0.4812,0.0476,34.9206
16,0.5218,0.0456,27.6328
17,0.4022,0.0350,18.5231
18,0.4609,0.0401,29.6066
19,0.4472,0.0367,14.2719
20,0.5015,0.0374,21.7115
21,0.4813,0.0360,24.5963
22,0.5168,0.0348,29.1511
23,0.5269,0.0356,43.5749
24,0.5584,0.0344,43.8026
25,0.5441,0.0332,62.1739
26,0.5557,0.0311,27.9365
27,0.5353,0.0307,49.1925
28,0.5322,0.0298,58.3022
29,0.5428,0.0268,16.7771
30,0.5298,0.0290,69.8412
31,0.5459,0.0275,45.1691
32,0.5484,0.0262,27.5569
33,0.5325,0.0238,15.0310
34,0.5744,0.0246,47.5224
35,0.5683,0.0236,25.5831
36,0.5750,0.0241,45.7764
37,0.5834,0.0235,39.5514
38,0.5741,0.0229,29.3789
39,0.5671,0.0220,30.6694
40,0.5758,0.0204,22.6984
41,0.5515,0.0211,22.6225
42,0.5848,0.0210,35.9834
43,0.6098,0.0199,28.9993
44,0.6003,0.0202,33.7060
45,0.5851,0.0192,34.7688
46,0.5868,0.0191,32.7950
47,0.5855,0.0186,30.7453
48,0.6067,0.0185,28.6956
49,0.5869,0.0182,38.1090
50,0.6060,0.0176,27.9365
51,0.6201,0.0177,23.6094
52,0.6119,0.0169,24.9758
53,0.6142,0.0165,18.3713
54,0.6094,0.0166,30.8971
55,0.5774,0.0159,25.7350
56,0.5875,0.0155,26.5700
57,0.5765,0.0146,29.2270
58,0.5935,0.0147,28.6197
59,0.5946,0.0151,37.5017
60,0.5734,0.0148,29.6825
61,0.5986,0.0146,39.8550
62,0.5626,0.0144,58.1504
63,0.5987,0.0140,34.2374
64,0.5921,0.0135,25.0517
65,0.5993,0.0137,35.5279
66,0.5809,0.0133,28.5438
67,0.5996,0.0131,26.5700
68,0.6160,0.0132,26.1145
69,0.5795,0.0126,20.3451
70,0.6132,0.0125,20.2691
71,0.5788,0.0121,31.8840
72,0.5884,0.0125,26.2664
73,0.5919,0.0125,35.9075
74,0.5951,0.0123,44.9413
75,0.5942,0.0119,24.4444
76,0.6122,0.0118,21.7115
77,0.6199,0.0112,13.9682
78,0.6019,0.0112,31.1249
79,0.5768,0.0111,20.5728
80,0.5999,0.0110,32.4154
81,0.5336,0.0106,19.2063
82,0.5821,0.0105,33.6301
83,0.5711,0.0105,35.1484
84,0.6089,0.0106,22.9261
85,0.6128,0.0103,20.3451
86,0.5739,0.0102,45.3968
87,0.6027,0.0102,22.7743
88,0.6033,0.0103,28.3920
89,0.5802,0.0100,43.6508
90,0.5757,0.0101,48.6611
91,0.5587,0.0101,67.3360
92,0.5462,0.0098,72.0427
93,0.5930,0.0095,26.4941
94,0.5778,0.0095,52.1532
95,0.5833,0.0096,43.8785
96,0.6099,0.0095,33.7060
97,0.6112,0.0092,24.7481
98,0.6021,0.0092,34.9206
99,0.6097,0.0091,25.4313
